Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrcb0061a,78 min,Café,Café,Failed update
rhagemann,ausrcwa043,60 min,FXRS,FSMS,FSMS Service Issue
mbarth,auswrca0230,45 min,FXRS,Café,ship intl
chkelley,ausrca0055,40 min,FXRS,FSMS,reference numbers are not uploading
pgarza,ausrcwb148,39 min,Café,Café,Shipping Disabled
jemcavin,ausrca0052,33 min,Café,Café,software upgrade help
anewman,ausrca0074,31 min,FXRS,FSMS,Rate ship error
jemcavin,ausrca0052,15 min,FXRS,WIS,generic WIS questions
anewman,ausrca0074,14 min,FXRS,FSMS,Scale not functioning
macampbell,auscrwfxrs3,14 min,FXRS,WIS,Authentication failed
anewman,ausrca0074,8 min,FXRS,WIS,Get production credentials
jemcavin,ausrca0052,7 min,Café,Café,shipping has been disabled message
mbarth,auswrca0230,7 min,FXRS,Café,esclated
mbarth,auswrca0230,5 min,FXRS,Misdirect,needs .com
jemcavin,ausrca0052,4 min,FXRS,Misdirect,needed credentials but no user ID
mwildman,ausrca0229,4 min,Café,Café,CIC work request new install
mwildman,ausrca0229,4 min,Café,Café,Communication TECH TICKET Hardware
mendrys,ausrca0070,3 min,FXRS,WIS,check freight acct in WIS
mendrys,ausrca0070,1 min,FXRS,Misdirect,dotcom
